Date,Currency,Buying,Selling,Mean
2009-01-21,PKR,22.3527,22.7101,22.5314
2009-01-21,AED,349.9169,357.0095,353.4632
2009-01-21,UGX,0.7872,0.7983,0.7927
2009-01-21,CAD,1020.1443,1040.4681,1030.3062
2009-01-21,DEM,580.2618,591.4363,585.849
2009-01-21,FIM,190.8756,194.5514,192.7135
2009-01-21,ZAR,126.9412,128.4534,127.6973
2009-01-21,ESP,6.821,6.9521,6.8865
2009-01-21,SEK,154.0272,156.7442,155.3857
2009-01-21,KES,18.6257,18.9692,18.7975
2009-01-21,ITL,0.5861,0.5974,0.5918
2009-01-21,NOK,182.1309,185.7689,183.9499
2009-01-21,AUD,841.9868,859.6948,850.8408
2009-01-21,KWD,4462.777,4491.4726,4477.1248
2009-01-21,GOLD,1094158.6938,1119111.483,1106635.0884
2009-01-21,NLG,514.9977,524.919,519.9583
2009-01-21,BEF,28.1335,28.6751,28.4043
2009-01-21,DKK,223.9515,228.4025,226.177
2009-01-21,ATS,82.4765,84.0647,83.2706
2009-01-21,MWK,14.6055,14.7361,14.6708
2009-01-21,EUR,1668.1647,1702.4711,1685.3179
2009-01-21,JPY,14.2968,14.5804,14.4386
2009-01-22,NOK,186.4886,190.1566,188.3226
2009-01-22,ITL,0.5861,0.5974,0.5918
2009-01-22,CHF,1111.3531,1133.3477,1122.3504
2009-01-22,AUD,846.2282,863.8916,855.0599
2009-01-22,EUR,1675.3622,1710.209,1692.7856
2009-01-22,KES,18.6257,18.9692,18.7975
2009-01-22,AED,349.9169,357.0095,353.4632
2009-01-22,GBP,1792.5797,1829.8187,1811.1992
2009-01-22,DEM,580.2618,591.4363,585.849
2009-01-22,ATS,82.4765,84.0647,83.2706
2009-01-22,BIF,1.243,1.31,1.2765
2009-01-22,USD,1285.2798,1311.51,1298.3949
2009-01-22,BEF,28.1335,28.6751,28.4043
2009-01-22,JPY,14.43,14.7146,14.5723
2009-01-22,NLG,514.9977,524.919,519.9583
2009-01-22,KWD,4470.5384,4556.2272,4513.3828
2009-01-22,SDR,2021.6294,2062.8872,2042.2583
2009-01-22,MWK,14.6055,14.7361,14.6708
2009-01-22,UGX,0.7872,0.7983,0.7927
2009-01-22,ESP,6.821,6.9521,6.8865
2009-01-22,INR,26.2771,26.8065,26.5418
2009-01-22,FIM,190.8756,194.5514,192.7135
2009-01-22,GOLD,1096472.1974,1120947.597,1108709.8972
2009-01-22,CAD,1021.6038,1041.956,1031.7799
2009-01-22,SEK,157.3941,160.449,158.9215
